fdc_id,brand_owner,ingredients,serving_size,serving_size_unit,branded_food_category,data_type,description,publication_date,cat_null,sat_fat_g,trans_fat_g,magnesium_mg,potassium_mg,mufa_grams,protein_grams,fiber_grams,vitamin_a_IU,vitamin_c_MG,calcium_MG,iron_MG,sugar_G,sodium_MG,NRFNn.3,cluster
353380,"BEAVER STREET FISHERIES, INC.",2/4 MAHI PORTIONS,112.0,g,,branded_food,2/4 MAHI PORTIONS,2019-04-01,True,0.0,0.0,,0.11885714285714286,,0.375,0.0,0.0108,0.0,0.015,0.06277777777777778,0.0,0.037083333333333336,,391
353381,Beaver Street Fisheries Inc.,CAB RIBEYE CH TH 32-34OZ,112.0,g,,branded_food,CAB RIBEYE CH TH 32-34OZ,2019-04-01,True,0.223,0.0,,0.102,0.0,0.3928,0.0,0.0,0.0,0.006,0.1461111111111111,0.0,0.037083333333333336,,133
353382,Beaver Street Fisheries Inc.,CHOICE EYE ROUND,112.0,g,,branded_food,CHOICE EYE ROUND,2019-04-01,True,0.0445,0.0,,0.06371428571428571,0.0,0.4642,0.0,0.0,0.0,0.013000000000000001,0.07944444444444444,0.0,0.0225,,378
353383,Mondelez Int. US (0074819091009),NABISCO OREO SANDWICH COOKIES HEADS OR TAILS1X15.250 OZ,29.0,g,,branded_food,NABISCO OREO SANDWICH COOKIES HEADS OR TAILS1X15.250 OZ,2019-04-01,True,0.34500000000000003,0.0,,0.02457142857142857,,0.069,0.0,,0.0,0.02,0.18388888888888888,0.35864,0.12208333333333335,,746
353384,"BEAVER STREET FISHERIES, INC.",CAPELIN WHOLE ROUND,85.0,g,,branded_food,CAPELIN WHOLE ROUND,2019-04-01,True,0.08800000000000001,0.0,,0.0,,0.1176,0.0,0.0042,0.01833333333333333,0.015,0.058888888888888886,0.0,0.08666666666666667,,943
353385,"BEAVER STREET FISHERIES, INC.",RET BAG SWAI FILLET,112.0,g,,branded_food,RET BAG SWAI FILLET,2019-04-01,True,0.0,0.0,,0.0,,0.375,0.0,0.0064,0.03,0.022000000000000002,0.04944444444444445,0.0,0.04083333333333333,,44
353386,SMITHFIELD FOODS INC.,"""BACN,SS,NW-SM,14/18,15#""",19.0,g,,branded_food,"""BACN,SS,NW-SM,14/18,15#""",2019-04-01,True,0.9209999999999999,,,,,0.5264,0.0,0.0,0.0,0.0,0.0,0.0,0.7454166666666666,,885
353387,Beaver Street Fisheries Inc.,8/10 OZ CO V/P REDFISH,112.0,g,,branded_food,8/10 OZ CO V/P REDFISH,2019-04-01,True,0.0445,0.0,,0.07857142857142857,0.0,0.3392,0.0,0.0,0.0,0.057999999999999996,0.04944444444444445,0.0,0.024166666666666663,,146
353388,Beaver Street Fisheries Inc.,21/25 EZ PEEL SHRIMP,112.0,g,,branded_food,21/25 EZ PEEL SHRIMP,2019-04-01,True,0.0,0.0,,0.022857142857142857,0.0,0.2322,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,0.2491666666666667,,220
353389,Beaver Street Fisheries Inc.,12/U CAN SNO CRAB CLUSTER,85.0,g,,branded_food,12/U CAN SNO CRAB CLUSTER,2019-04-01,True,0.0,0.0,,0.0,0.0,0.4706,0.0,0.0062,0.17666666666666667,0.031,0.17666666666666667,0.0,0.2891666666666667,,478
353390,"BEAVER STREET FISHERIES, INC.",16/20 EZ PEEL SHRIMP,112.0,g,,branded_food,16/20 EZ PEEL SHRIMP,2019-04-01,True,0.0,0.0,,0.022857142857142857,,0.2322,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,0.2491666666666667,,220
353391,Beaver Street Fisheries Inc.,GROUPER CHEEKS,113.0,g,,branded_food,GROUPER CHEEKS,2019-04-01,True,0.0,0.0,,0.13657142857142854,0.0,0.3894,0.0,0.0,0.0,0.027000000000000003,0.048888888888888885,0.0,0.02208333333333333,,239
353392,Beaver Street Fisheries Inc.,6/8 OZ CO V/P REDFISH,112.0,g,,branded_food,6/8 OZ CO V/P REDFISH,2019-04-01,True,0.0445,0.0,,0.07914285714285714,0.0,0.3392,0.0,0.0,0.0,0.057999999999999996,0.04944444444444445,0.0,0.024166666666666663,,146
353393,QTG,Gamesa Chocolatines Marshmellow Cookies (8 - 1.4 Ounce) 11.7 Ounce 8 Count Paper Box,28.0,g,,branded_food,Gamesa Chocolatines Marshmellow Cookies (8 - 1.4 Ounce) 11.7 Ounce 8 Count Paper Box,2019-04-01,True,0.7144999999999999,0.0,,,,0.07139999999999999,0.14400000000000002,0.0,0.0,0.0,0.14277777777777778,0.34288,0.08916666666666667,,807
353394,Mondelez Int. US (0074819091009),TRIDENT WHITE GUM PEPPERMINT SUGAR FREE1X110 PC,3.0,g,,branded_food,TRIDENT WHITE GUM PEPPERMINT SUGAR FREE1X110 PC,2019-04-01,True,,,,,,0.0,,,,,,0.0,0.0,,494
353395,Mondelez Int. US (0074819091009),CHEESE NIPS CRACKERS REDUCED FAT1X11.750 OZ,30.0,g,,branded_food,CHEESE NIPS CRACKERS REDUCED FAT1X11.750 OZ,2019-04-01,True,0.1665,,,0.047714285714285716,,0.2,0.1,0.0,0.0,0.133,0.26666666666666666,0.0,0.3195833333333333,,355
353396,The J.M. Smucker Company,DICKINSON 9.5 OUNCE COCONUT CURD,20.0,g,,branded_food,DICKINSON 9.5 OUNCE COCONUT CURD,2019-04-01,True,0.375,0.0,,0.0,,0.1,0.0,,,0.0,0.0,0.48,0.03125,,681
353397,"BEAVER STREET FISHERIES, INC.",7/9 IQF TILAPIA FILLETS,113.0,g,,branded_food,7/9 IQF TILAPIA FILLETS,2019-04-01,True,0.044000000000000004,0.0,,0.0,,0.5664,0.0,0.0034,0.02666666666666667,0.023,0.017777777777777778,0.0,0.02208333333333333,,696
353398,"BEAVER STREET FISHERIES, INC.",4 OZ. CAN LOBSTER TAILS,112.0,g,,branded_food,4 OZ. CAN LOBSTER TAILS,2019-04-01,True,0.0,0.0,,0.057142857142857134,0.0,0.3392,0.0,0.0,0.0,0.084,0.015,0.0,0.17875,,4
353399,Beaver Street Fisheries Inc.,4OZ. CHESAPEAKE CRABCAKES,112.0,g,,branded_food,4OZ. CHESAPEAKE CRABCAKES,2019-04-01,True,0.0445,0.0,,0.0,0.0,0.21420000000000006,0.036000000000000004,0.0,0.14833333333333334,0.023,0.03555555555555556,0.007120000000000001,0.2308333333333333,,718
353400,Beaver Street Fisheries Inc.,8 OZ SWORDFISH STEAKS,112.0,g,,branded_food,8 OZ SWORDFISH STEAKS,2019-04-01,True,0.0895,0.0,,0.11942857142857145,0.0,0.3928,0.0,0.0,0.02666666666666667,0.0,0.021111111111111112,0.0,0.03333333333333333,,401
353401,Mondelez Int. US (0074819091009),NABISCO WHEAT THINS CRACKERS SUN DRIED TOMATO & BASIL 1X9 OZ,30.0,g,,branded_food,NABISCO WHEAT THINS CRACKERS SUN DRIED TOMATO & BASIL 1X9 OZ,2019-04-01,True,0.08349999999999999,0.0,,0.09428571428571428,,0.1334,0.268,,,0.10300000000000001,0.16833333333333333,0.10664000000000001,0.22208333333333333,,512
353402,"BEAVER STREET FISHERIES, INC.",CRABMEAT STUFFING LUMP,112.0,g,,branded_food,CRABMEAT STUFFING LUMP,2019-04-01,True,0.0445,0.0,,0.0,0.0,0.26780000000000004,0.036000000000000004,0.0044,0.08,0.07,0.0,0.007120000000000001,0.2679166666666667,,252
353403,ROCKSTAR INC.,Rockstar Punched 16 fluid ounce can,240.0,ml,,branded_food,Rockstar Punched 16 fluid ounce can,2019-04-01,True,,,,,,0.0084,,,,,,0.1,0.00875,,161
353404,QTG,Gatorade G2 Low Calorie Grape Thirst Quencher 12 Fluid Ounce Bottle.,360.0,ml,,branded_food,Gatorade G2 Low Calorie Grape Thirst Quencher 12 Fluid Ounce Bottle.,2019-04-01,True,0.0,0.0,,0.0037142857142857134,,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.01916666666666666,,591
